record_id,timestamp_alert,kafka_transit_ms,inference_ms,end2end_ms,confidence
REC_0,2026-05-10T16:42:55.874542,161.07,13.75,174.82,0.9182
REC_1,2026-05-10T16:42:55.896213,9.24,21.67,30.91,0.9934
REC_2,2026-05-10T16:42:55.944987,8.03,21.03,29.07,0.9835
REC_3,2026-05-10T16:42:55.976643,0.00,9.88,9.88,0.9501
REC_4,2026-05-10T16:42:56.024054,0.00,6.74,6.73,0.9501
REC_5,2026-05-10T16:42:56.087362,5.63,13.81,19.44,0.7837
REC_6,2026-05-10T16:42:56.139007,0.00,19.30,19.30,0.9276
REC_7,2026-05-10T16:42:56.183973,0.00,12.99,12.99,0.7838
REC_8,2026-05-10T16:42:56.239229,0.00,17.44,17.44,0.9731
REC_9,2026-05-10T16:42:56.280478,3.39,4.32,7.71,0.8949
REC_10,2026-05-10T16:42:56.353579,0.00,30.27,30.27,0.8898
REC_11,2026-05-10T16:42:56.393920,4.27,13.67,19.95,0.8257
REC_12,2026-05-10T16:42:56.448166,5.74,17.15,23.46,0.9275
REC_13,2026-05-10T16:42:56.500771,4.51,20.39,25.44,0.9303
REC_14,2026-05-10T16:42:56.555417,0.00,29.49,29.49,0.9875
REC_15,2026-05-10T16:42:56.612717,3.96,32.39,36.35,0.9886
REC_16,2026-05-10T16:42:56.665924,6.05,31.47,38.53,0.9332
REC_17,2026-05-10T16:42:56.739411,5.23,55.26,61.13,0.9963
REC_18,2026-05-10T16:42:56.829459,25.35,40.40,65.75,0.8773
REC_19,2026-05-10T16:42:56.863600,11.15,28.02,39.17,0.9836
REC_21,2026-05-10T16:42:56.945282,2.56,16.46,19.02,0.9700
REC_22,2026-05-10T16:42:56.995358,1.80,16.42,18.22,0.9540
REC_23,2026-05-10T16:42:57.045213,4.33,13.34,17.66,0.8719
REC_25,2026-05-10T16:42:57.145126,0.00,15.87,15.87,0.9700
REC_27,2026-05-10T16:42:57.247540,0.00,16.87,16.87,0.9411
REC_28,2026-05-10T16:42:57.295135,0.00,13.82,13.82,0.7970
REC_29,2026-05-10T16:42:57.345172,0.00,13.16,13.16,0.9763
REC_31,2026-05-10T16:42:57.461126,3.38,24.17,27.55,0.9429
REC_32,2026-05-10T16:42:57.513154,2.01,26.87,28.87,0.9454
REC_33,2026-05-10T16:42:57.544485,4.01,5.45,9.46,0.8347
REC_35,2026-05-10T16:42:57.658280,1.75,20.02,21.77,0.6879
REC_36,2026-05-10T16:42:57.701524,4.24,9.97,14.21,0.9579
REC_37,2026-05-10T16:42:57.749117,3.36,7.72,11.08,0.9986
REC_38,2026-05-10T16:42:57.797464,2.15,6.32,8.47,0.9235
REC_39,2026-05-10T16:42:57.845705,1.52,4.11,5.63,0.9202
REC_40,2026-05-10T16:42:57.909882,2.94,16.00,18.93,0.8927
REC_41,2026-05-10T16:42:57.963169,0.00,21.29,21.29,0.9511
REC_42,2026-05-10T16:42:58.005926,0.00,12.49,12.49,0.9495
REC_43,2026-05-10T16:42:58.060150,0.37,15.76,16.13,0.8779
REC_44,2026-05-10T16:42:58.108758,0.00,13.71,13.71,0.9889
REC_45,2026-05-10T16:42:58.157363,0.00,11.41,11.41,0.9947
REC_46,2026-05-10T16:42:58.205818,0.00,9.05,9.04,0.9844
REC_47,2026-05-10T16:42:58.254282,0.00,6.71,6.71,0.9551
REC_48,2026-05-10T16:42:58.302077,0.00,0.00,3.85,0.9997
REC_49,2026-05-10T16:42:58.365643,1.05,15.72,16.77,0.9405
REC_50,2026-05-10T16:42:58.414006,0.00,14.03,14.03,0.8324
REC_51,2026-05-10T16:42:58.461443,0.00,10.34,10.34,0.9989
REC_52,2026-05-10T16:42:58.508673,0.00,7.04,7.04,0.8924
REC_53,2026-05-10T16:42:58.560242,2.85,3.96,7.85,0.7517
REC_54,2026-05-10T16:42:58.624087,0.00,20.97,20.96,0.9990
REC_55,2026-05-10T16:42:58.671643,1.79,16.02,17.81,0.9421
REC_56,2026-05-10T16:42:58.740098,3.97,31.28,35.25,0.9945
REC_57,2026-05-10T16:42:58.764793,4.93,3.98,9.43,0.6001
REC_58,2026-05-10T16:42:58.827851,7.90,14.05,21.95,0.9570
REC_59,2026-05-10T16:42:58.875653,3.28,15.09,18.37,0.9260
REC_60,2026-05-10T16:42:58.924215,2.01,13.96,15.97,0.7690
REC_61,2026-05-10T16:42:58.972668,0.00,13.88,13.88,0.6656
