record_id,timestamp_received,logistic,svm,rf,vote,confidence,true_label
REC_0,2026-05-10T16:42:55.860796,1,1,1,1,0.9182,1
REC_1,2026-05-10T16:42:55.874542,1,1,1,1,0.9934,1
REC_2,2026-05-10T16:42:55.923953,1,1,1,1,0.9835,1
REC_3,2026-05-10T16:42:55.966760,1,1,1,1,0.9501,1
REC_4,2026-05-10T16:42:56.017319,1,1,1,1,0.9501,1
REC_5,2026-05-10T16:42:56.073549,1,1,1,1,0.7837,1
REC_6,2026-05-10T16:42:56.119703,1,1,1,1,0.9276,1
REC_7,2026-05-10T16:42:56.170985,1,1,1,1,0.7838,1
REC_8,2026-05-10T16:42:56.221793,1,1,1,1,0.9731,1
REC_9,2026-05-10T16:42:56.276155,1,1,1,1,0.8949,1
REC_10,2026-05-10T16:42:56.323306,1,1,1,1,0.8898,1
REC_11,2026-05-10T16:42:56.378240,1,1,1,1,0.8257,1
REC_12,2026-05-10T16:42:56.430437,1,1,1,1,0.9275,1
REC_13,2026-05-10T16:42:56.479837,1,1,1,1,0.9303,1
REC_14,2026-05-10T16:42:56.525930,1,1,1,1,0.9875,1
REC_15,2026-05-10T16:42:56.580323,1,1,1,1,0.9886,1
REC_16,2026-05-10T16:42:56.633446,1,1,1,1,0.9332,1
REC_17,2026-05-10T16:42:56.683510,1,1,1,1,0.9963,1
REC_18,2026-05-10T16:42:56.789056,1,1,1,1,0.8773,1
REC_19,2026-05-10T16:42:56.835580,1,1,1,1,0.9836,1
REC_20,2026-05-10T16:42:56.879013,0,0,1,0,0.3888,1
REC_21,2026-05-10T16:42:56.928826,1,1,1,1,0.9700,1
REC_22,2026-05-10T16:42:56.978934,1,1,1,1,0.9540,1
REC_23,2026-05-10T16:42:57.031875,1,1,1,1,0.8719,1
REC_24,2026-05-10T16:42:57.078577,0,0,1,0,0.3570,1
REC_25,2026-05-10T16:42:57.129256,1,1,1,1,0.9700,1
REC_26,2026-05-10T16:42:57.180189,0,0,1,0,0.3570,1
REC_27,2026-05-10T16:42:57.230671,1,1,1,1,0.9411,1
REC_28,2026-05-10T16:42:57.281317,1,1,1,1,0.7970,1
REC_29,2026-05-10T16:42:57.332013,1,1,1,1,0.9763,1
REC_30,2026-05-10T16:42:57.382851,0,0,1,0,0.5076,1
REC_31,2026-05-10T16:42:57.436955,1,1,1,1,0.9429,1
REC_32,2026-05-10T16:42:57.486288,1,1,1,1,0.9454,1
REC_33,2026-05-10T16:42:57.539039,1,1,1,1,0.8347,1
REC_34,2026-05-10T16:42:57.585992,0,0,0,0,0.1101,1
REC_35,2026-05-10T16:42:57.638258,0,1,1,1,0.6879,1
REC_36,2026-05-10T16:42:57.691554,1,1,1,1,0.9579,1
REC_37,2026-05-10T16:42:57.741400,1,1,1,1,0.9986,1
REC_38,2026-05-10T16:42:57.791140,1,1,1,1,0.9235,1
REC_39,2026-05-10T16:42:57.841595,1,1,1,1,0.9202,1
REC_40,2026-05-10T16:42:57.893886,1,1,1,1,0.8927,1
REC_41,2026-05-10T16:42:57.941875,1,1,1,1,0.9511,1
