record_id,vote,confidence,logistic,svm,rf
REC_0,1,0.9182,1,1,1
REC_1,1,0.9934,1,1,1
REC_2,1,0.9835,1,1,1
REC_3,1,0.9501,1,1,1
REC_4,1,0.9501,1,1,1
REC_5,1,0.7837,1,1,1
REC_6,1,0.9276,1,1,1
REC_7,1,0.7838,1,1,1
REC_8,1,0.9731,1,1,1
REC_9,1,0.8949,1,1,1
REC_10,1,0.8898,1,1,1
REC_11,1,0.8257,1,1,1
REC_12,1,0.9275,1,1,1
REC_13,1,0.9303,1,1,1
REC_14,1,0.9875,1,1,1
REC_15,1,0.9886,1,1,1
REC_16,1,0.9332,1,1,1
REC_17,1,0.9963,1,1,1
REC_18,1,0.8773,1,1,1
REC_19,1,0.9836,1,1,1
REC_20,0,0.3888,0,0,1
REC_21,1,0.9700,1,1,1
REC_22,1,0.9540,1,1,1
REC_23,1,0.8719,1,1,1
REC_24,0,0.3570,0,0,1
REC_25,1,0.9700,1,1,1
REC_26,0,0.3570,0,0,1
REC_27,1,0.9411,1,1,1
REC_28,1,0.7970,1,1,1
REC_29,1,0.9763,1,1,1
REC_30,0,0.5076,0,0,1
REC_31,1,0.9429,1,1,1
REC_32,1,0.9454,1,1,1
REC_33,1,0.8347,1,1,1
REC_34,0,0.1101,0,0,0
REC_35,1,0.6879,0,1,1
REC_36,1,0.9579,1,1,1
REC_37,1,0.9986,1,1,1
REC_38,1,0.9235,1,1,1
REC_39,1,0.9202,1,1,1
REC_40,1,0.8927,1,1,1
REC_41,1,0.9511,1,1,1
REC_42,1,0.9495,1,1,1
REC_43,1,0.8779,1,1,1
REC_44,1,0.9889,1,1,1
REC_45,1,0.9947,1,1,1
REC_46,1,0.9844,1,1,1
REC_47,1,0.9551,1,1,1
REC_48,1,0.9997,1,1,1
REC_49,1,0.9405,1,1,1
REC_50,1,0.8324,1,1,1
REC_51,1,0.9989,1,1,1
REC_52,1,0.8924,1,1,1
REC_53,1,0.7517,0,1,1
REC_54,1,0.9990,1,1,1
REC_55,1,0.9421,1,1,1
REC_56,1,0.9945,1,1,1
REC_57,1,0.6001,1,0,1
REC_58,1,0.9570,1,1,1
REC_59,1,0.9260,1,1,1
REC_60,1,0.7690,1,1,1
REC_61,1,0.6656,1,1,1
REC_62,1,0.9576,1,1,1
REC_63,1,0.8054,1,1,0
REC_64,1,0.9454,1,1,1
REC_65,1,0.9759,1,1,1
REC_66,1,0.9935,1,1,1
REC_67,1,0.9737,1,1,1
REC_68,1,0.9845,1,1,1
REC_69,1,0.8098,1,1,1
REC_70,1,0.9802,1,1,1
REC_71,1,0.9281,1,1,1
REC_72,1,0.9432,1,1,1
REC_73,1,0.9840,1,1,1
REC_74,1,0.9985,1,1,1
REC_75,1,0.9566,1,1,1
REC_76,0,0.3736,0,0,1
REC_77,1,0.9929,1,1,1
REC_78,1,0.7721,0,1,1
REC_79,1,0.8531,1,1,1
REC_80,1,0.9347,1,1,1
REC_81,1,0.9959,1,1,1
REC_82,1,0.8911,1,1,1
REC_83,1,0.9736,1,1,1
REC_84,1,0.6262,0,1,1
REC_85,1,0.9921,1,1,1
REC_86,1,0.9392,1,1,1
REC_87,1,0.8226,1,1,1
REC_88,1,0.9200,1,1,1
REC_89,1,0.7493,1,1,1
REC_90,1,0.9990,1,1,1
